platform,what,details,key,platformValue
,Domain Model Pattern:With,"-creates a web of interconnected objects that model the business area that you are working with
-the objects encapsulates the business data and the business rules and are interconnected with each other through inheritance and aggregation",,
,Service Interface Pattern:With,"-a need to separate the business logic from the elements responsible for communication protocols, data transformation and fulfillment of service contracts
-responses (ouput/UI) optimized for a particular usage scenarios
-consumers may want to communicate using different technologies
-each software service has an associated interface that it presents to the consumers
-the interface defines and implements a contract between the consumers of the service and the provider of the service",,
,Table Data Gateway Pattern:With,"-generally is used to implement Table Module pattern
-has a simple interface, usually consisting of several find methods to get data from the database and update, insert and delete methods
-usually stateless, as its role is to push data back and forth",,
,Service Gateway Pattern:With,"-more likely to be part of the web app (consumer) c.f. Service Interface which is more at the provider side
-acts as proxies to other services, encapsulating the details of connecting to the source (like authentication) and performing any necessary translation (marshaling, encryption, message routing etc)
-perform similar roles as data access layer
-also used for service results which is asynchronous; a service consumer is prepared to receive a separate result message from the service",,
,Connection Pooling:.Net,"ADO.Net
-each Data Provider (DP) e.g. OLE DB .Net DP, Oracle .Net DP, SQL Server .Net DP and ODBC .Net DP provides transparent connection pooling
-during development, you might want to reduce the maximum size to discover connection leaks, if any",,
,Data Result Set:Java,java.sql.ResultSet,,
,Data Result Set:.Net,"ADO.Net
-System.Data.OleDb.OleDbDataReader",,
,High Level Data Access Object (DAO):.Net,"Disconnected
-DataSet (contains multiple DataTables and DataRelations of various tables, with built-in XML support) can be used for caching and with paging support
-DataTable (contains a collection of rows from a single table)

Connected
-DataProvider i.e. Connection, Command, DataReader and DataAdapter objects",,
,Data Access 2:.Net,"DataAdapter is used by DataSet to connect to the database

DataReader stream the rowsets to the control in read-only, forward-only fashion e.g. SqlDataReader (can be chosen by setting the DataSourceMode property of the data source control)

ADO.Net

Entity Framework

Enterprise Services",,
,Factory Pattern:With,"-no hard coding of object creation
-the client code that uses an object should be unaware of the details of how this object is created
-the system should be flexible enough to allow the substitution of a type of object (assuming its interface is invariant) with another type without having to modify the client code (assuming factory interface is invariant as well)",,
,Session Management Performance 1:.Net,"ASP.Net
-25% penalty for storing session in SQL server instead of keeping it in memory; best case scenario where only simple objects like String and Integers are stored
-More complex objects like DataSets must be serialized and de-serialized, which will be much more expensive
-minimize use of the ViewState; turn it off for any page that does not explicitly need it
-use ASP.Net session as it is more efficient",,
,Session Management Performance 2:.Net,"-use Session Analyzer to measure how much data you are storing in the session
-keep in mind that HttpSessionModule loads the ASP.Net session into memory for every ASPX page request, EVEN IF you are not using the session for this request
-as a rule of thumb, do not store data that can be re-created from the database in the session
-set ASPX compilation debug flag to false in web.config as it is directly impacting the performance of ASP.Net session",,
,File Upload Limit:Liferay,"6.1 CE (in bytes)
-51,200 (Web Content Image)
-307,200 (User Images)
-3,072,000 (Documents and Media)",,
,File Upload 2:.Net,"<asp:FileUpload ID=""txtattach""

if(txtattach.HasFile == true) {
   ...
   txtattach.SaveAs(filepath);",,
,WS-Policy:With,. Neethi,,
,Formatting Attributes:Android,"XML                 TextView Class Method
android:height      setHeight(int)
android:lines       setHeight(int)
android:maxLines    setMaxLines(int)
android:text        setText(CharSequence,TextView.BufferType)
android:textColor   setTextColor(int)",,
,Formatting Attributes:Windows Phone 7,". XAML or C#
. XAML is just an XML substitute for C# instantiation

""Silverlight renders from innermost element out, bottom-most element up; measure first then arrange.""",,
,Life Cycle 2:Android,"onStart() called when the activity becomes visible to the user
onResume() called when the activity starts interacting with the user
onPaused() called when the application/system resumes a previous activity; it is typically used to commit data to persistent storage
onStop() called when the activity is no longer visible to the user; could be called when a new activity is being started or an existing one brought to the front of this one 
",,
,Text Attributes:Android,"android:textColor
android:textAppearance
android:textSize
android:typeface
android:textStyle",,
,Useful Command:Android,"adb install
adb push
adb pull
adb shell
adb logcat
adb devices - your device should be recognized",,
,Life Cycle:Windows Phone 7.5,"Launching Event:
*1 Running ---> *2

Deactivated Event:
Dormant (Not Running)
Tombstoned ---> *1 (with Activated Event)

Closing Event:
*2 Closed",,
,To Emulator:Android,"In Eclipse:

Use DDMS perspective|File Explorer view, click on the second top right corner button from the left",,
,Main Concepts:.Net XAML,"In WPF and Silverlight, it is primarily used to describe:
1. UI
2. WIindows Workflow Foundation (WF)
3. Windows Communication Foundation (WCF)

The latter two have nothing to do with UI.

All event handlers are always attached before any properties are set for any object declared in XAML.
",,
,Tips:XAML Property Element,"<Button xmlns=""http://schemas.microsoft... Content=""OK"" Background=""White""/>

is the same as

<Button xmlns=""http://schemas.microsoft...>
 <Button.Content>
  OK
 </Button.Content>
 <Button.Background>
  White
 </Button.Background>
</Button>",,
,Curly Braces ({}):XAML,". Treated as Mackup Extension or subjected to type conversion
. It can be nested, containing other {} for example",,
,Binding 1:XAML,"Binding markup extension:

1. Can refer to a Named Parameter (i.e. another attribute of the same element) e.g. Height=""20"" Content=""{Binding  Path=Height

2. Can refer to a Named Element in the same parent e.g.
<StackPanel ...
 <Label Target=""{Binding ElementName=box}
 <TextBox Name=""box""/>

or in WPF 4

<StackPanel ...
 <Label Target=""{x:Reference box}
 <TextBox Name=""box""/>

or simply

<StackPanel ...
 <Label Target=""box""
 <TextBox Name=""box""/>",,
,Content Property:XAML,"Most WPF classes designate a property known as Content, which is set to whatever content is inside an XML element.

Some don't, e.g.ComboBox, ListBox and TabControl. They use Items property instead, as their content property.",,
,Layout Properties:XAML,"Margin = left, top, right, bottom
Padding = left, top, right, bottom

e.g.

<Label padding=""0,10,20,30"" ...
<Label padding=""20,5"" ... (left/right gets 20, top/bottom gets 5)
<Label padding=""10"" ... (all gets a 10)

c.f. HorizontalAlignment and VerticalAlignment - use these first if possible instead of Canvas.Left and Canvas.Top",,
,Layout Properties:CSS,"Margin = top, right, bottom, left
Padding = top, right, bottom, left",,
,Easy to Forget:.Net,You can not change an XAML in VS if the app is running (you need to stop it first),,
,Two Way Data Binding:XAML,"mode=""TwoWay""",,
,Two Way Data Binding:Knockout,"Out of the box, it is already two way, you do nothing to get this feature",,
,Complex Data Binding:Knockout,"ko.dependentObservable(function() {
   this.firstName() + this.lastName()
...
ko.applyBindings(viewModel);",,
,Binding:Knockout,"<input id=""test"" type=""text"" data-bind=""value: firstName"" />

//yourscript...
var model = { 
    firstName : ko.observable(""Default_Value""),
};
ko.applyBindings(model);",,
,Binding:Backbone,"<input id=""test"" name=""firstName"" type=""text"">

//your script...
var Model = Backbone.Model.extend();
var model = new Model();
$('input').bind(""change"", function(){
    var obj = {};
    obj[$(this).attr('name')] = $(this).val();
    model.set(obj);
});",,
,Main Concepts:View Model,Blurred separation between Models and Controllers,,
,Remote Mashup:Liferay,WSRP (The Web Services for Remote Portlets specification 2.0),,
,Local Mashup:Liferay,"Web Proxy:

<div id=""embedded-welcome-portlet"">
  <runtime-portlet name=""47"" instance=""4433"" queryString=""""/>
</div>

Obviously using the typical portlet, but also IFrame Portlet which is reachable by your browser and might not have the look and feel of your other portlet.",,
,Useful Command:Debian Linux,". apt-cache search <search term>
. apt-get install <library etc.>",,
,Useful Command:CentOS Linux,"yum search <keyword>
yum install <library etc.>
service tomcat6 restart
cd /usr/share/tomcat5/logs
",,
,Lowest Resolution:Android Game,320 x 240 pixels,,
,Setup:Liferay 6,"Add the following line into portal-ext.properties (create one if none) -

resource.repositories.root=${user.home}/liferay",,
,Useful Command:Linux,"Copy files remotely
rcp -rp root@108.178.12.176:/root/_liferay-portal-tomcat-6.1.0-ce-ga1-20120106155615760.zip .

Count the total number of files in a folder
find . -type f | wc -l

Look at the device (error) log
dmesg | tail",,
,General Game Logic:Android,". Set up the new window and UI component

. Hook into callbacks so that we can receive window and input events

. Start the main loop thread

. Keep track of the current screen and tell it to update and present itself in each main loop (aka frame)

. Transfer any window events (e.g. pause and resume events) from the the UI thread to the main loop thread and pass them onto the current screen (state changed)

. Grant access to all the modules (input, file io, graphics and audio)",,
,Easily to Forget:Liferay,". If you plan to use the instance for production, you have to setup a database beforehand
. Also, do not forget to create a database called ""lportal"" before you try to connect to the database during the database setup",,
,Error:PHP,"To display error back to the web browser -

ini_set('display_errors', 1);
error_reporting(E_ALL); ",,
,Useful Command:MySQL,"mysql -u root -p
mysql -u root -p [database name]
mysql -p -u root -h 127.0.0.1 [database name] < dump.sql
mysqladmin -uroot -proot create [database name]
mysqladmin -uroot -proot drop [database name]
sudo /Library/StartupItems/MySQLCOM/MySQLCOM start

SQL:

CREATE USER 'jen1'@'localhost' IDENTIFIED BY 'jen1';

SET PASSWORD FOR root@localhost = PASSWORD('newpassword');
",,
,Setup:caGrid Portal,"1. Change your local build e.g. ~/cagrid-portal-3-5_release_final/build-local.properties

...
liferay.db.username=portalacct
liferay.db.password=portalacct

cagrid.portal.db.username=portalacct
cagrid.portal.db.password=portalacct

cagrid.portal.geocoder.yahoo.appId=cQXrDAfV34G2zqlg33Zos77wHJPi2acOFD0zjdBH9c9IIDdrfnmSf1LpeVJHQuzO

liferay.install.dir=C:/liferay-portal

2. Invoke these steps -

ant all (reinstall all, slow and optional)

ant install
",,
,App Store Limit:Windows Phone Marketplace,. Only Windows Phone 7.5+ (http://www.readwriteweb.com/mobile/2012/05/microsofts-smart-decision-for-the-windows-phone-marketplace.php),,
,Useful Command:Mac OS X,". Shift + Cmd + H = Goto Home (in Finder)

. /Applications/Utilities/Network\ Utility.app/Contents/Resources/stroke 127.0.0.1 49152 65535
http://www.thoughtdeposit.net/os-x/osx-has-a-builtin-command-line-port-scanner",,
,Easily to Forget:Android Game,. Used the synchronized block to make sure that you don’t get a concurrentModificationException (as in make it thread safe in a way),,
,Main Concepts:Android Game,". Types of animations

a. Frame-by-frame animation
b. Layout animation
c. View animation
d. Texture based animation like OpenGL ES

. Sprite - a graphical overlay e.g. a rectangle region superimposed on a background image
. Game Loop - where the game spends most of its life time on",,
,App Store:Apple,. 30% Apple 70% Developers (http://9to5mac.com/2011/02/15/apple-launches-app-store-subscriptions-for-all-developers/),,
,App Store:Android,. 30% Google 70% Developer (http://developer.android.com/guide/market/billing/index.html),,
,Useful Command:Google Chrome,". Ctrl + Shift + I (Windows) or Alt + Cmd + I (Mac OS X) = Developer Tools
. Ctrl + 0 = Back to default zoom",,
,Hacking:Tools,"Paros
http://sourceforge.net/projects/paros/files/",,
,Error:jQuery AJAX,"$(function() {
    $.ajaxSetup({
        error: function(jqXHR, exception) {
            if (jqXHR.status === 0) {
                alert('Not connect.\n Verify Network.');
            } else if (jqXHR.status == 404) {
                alert('Requested page not found. [404]');
            } else if (jqXHR.status == 500) {
                alert('Internal Server Error [500].');
            } else {
                alert('Uncaught Error.\n' + jqXHR.responseText);
            }
...",,
,Parsing XML:jQuery,"jQuery(document).ready(function(){
	jQuery.get({
		""content.xml"",
		function(xml) {
			jQuery(xml).find('table').each(function(){
			 	alert('table');
				jQuery(this).find('row').each(function(){
					var brief = $(this).find('row').text();
			 		alert('brief ' + brief);
				});
			});
		}
	});
});",,
,HTML Form Post:jQuery,"var parameters = {
    'tprice': $(""#tprice"").text(),
    'tevents': $(""#tevents"").text()
};
$.post(""checkout.php"", parameters);",,
,Useful Command:SQL,"alter table `ServiceRegistry` add unique index(appId, service);
alter table `Genius` add unique index(appId, what);
alter table `ServiceRegistry` add constraint pkc_Name primary key (appId, service);

SELECT @@global.time_zone, @@session.time_zone;
SET GLOBAL time_zone = '-4:00';
SET SESSION time_zone = '-4:00';",,
,Newline:C#,"Environment.Newline

http://msdn.microsoft.com/en-us/library/system.environment.newline.aspx",,
,Main Concepts (1):OpenGL ES 2.0,"First standardized OpenGL 2D and 3D graphics API emerged in 1992

. Vertices - a series of points you draw in 3D space (x, y and z)
. View Matrix is the ""camera""
. Model Matrix - to transform your model
. Projection Matrix - basically this is your eyes' coordinates looking into the camera
. Bounding Volume/Bounding Box/Viewing Volume/Viewing Box/Frustum - the pyramid shaped 3D volume that determines what is visible on screen",,
,Deployment Tips 1:Android,"To prevent an OpenGL ES 2 app from appearing on a device which doesn’t support it, you can add this to your manifest:

<uses-feature android:glEsVersion=""0x00020000"" android:required=""true"" />

Use this tag cautiously, as it might exclude your app from the Play market on the devices that do not support the feature.",,
,Screen Tips:Android,". DisplayMetrics utility can be used to find out more information about the device screen e.g.

DisplayMetics currentMetrics = new DisplayMetics();
WindowManager wm = getWindowManager();
wm.getDefaultDisplay().getMetrics(currentMetrics);

. Explicitly state which screen sizes your app supports with <supports-screen> tag in Android manifest file

. Apply ""working square"" principle appropriately (like view finder controls)",,
,Native SDK:Google TV,". As at Feb 2012, there is no native development kit (NDK) - one have to use typical Android SDK",,
,OpenGL ES (1):Android,". Java bindings to OpenGL ES 2.0 (with some issues as at 2011) done pretty well since 1.5 and not exactly JSR 239 compliant

. Included both 1.0 and 2.0

. You deal with GLSurfaceView instead of Android's SurfaceView

. The camera in OpenGL is different concept from the Android's Camera class in graphics package

. OpenGL ES 2.0 is available only from API level 8 (SDK 2.2)

. Android 3.0 introduced ""C"" like language known as Renderscript for better performance with OpenGL on Android",,
,OpenGL ES (2):Android,". Many convenient functions have been removed (from OpenGL) like drawing rectangles is not directly supported (need to draw two triangles to make a rectangle)

. Besides being different from Java ME's JSR 239, Android implementation is not object oriented (vs. Java ME's JSR 184 aka M3G and 297)

. Android does not support M3G

. You deals with only GLSurfaceView class and GLSurfaceView.Renderer interface",,
,Main Concepts (2):OpenGL ES 2.0,". Shaders - even the simplest drawing requires a program segments called shaders; they are core of OpenGL ES 2.0
. Textures - a bitmap that you paste on a surface",,
,Common Methods:OpenGL ES,"glVertexPointer
glDrawElements
glColor
glClear
gluLooAt
glFrustum
glViewport

The above methods allow one to -

1. Use the essential OpenGL drawing APIs
2. Clear the palette
3. Specify colors
4. Understand OpenGL camera and coordinates",,
,Layout Properties:OpenGL 2D,"It is assumed that the camera is at the center of the screen, thus -

negative x means it is towards the left and positive x means to the right
negative y means it is towards the bottom and positive y means towards the top",,
,Layout Properties:OpenGL 3D,". If you do not specify eye point, the camera is located at (0, 0, 0)

. The x and y coordinates are the same as in 2D, but for the z coordinate, negative value means you are going into the screen and positive value means it is coming out towards you",,
,Easy to Forget:Java,"In String's replaceAll method, ( and ) have special meanings. In order to use it correctly without run-time exception (yes, it will not cause compile time error), you need to escape them with double backward slash e.g.

retVal = retVal.replaceAll(""\\("", ""_LPAREN_"");",,
,Easy to Forget:.Net XAML,". Remember to issue a reload before assigning the value from the database/backend e.g.

 DC.Reload();
 CustomerCurrentStatusTable.DataContext = DC.CustomerCurrentStatusTable;

. Your server stub appears locked in the client project, and you need to remember to rebuild the server solution to see the changes from the client project

. If you bind to anything that does not exist (from xaml to code behind), there will be no warning. It just won't work quitely",,
,Got Focus 1:.Net XAML,"In XAML -

<DockPanel Canvas.Left=""-20"" Canvas.Top=""0"">
 <TextBlock Text=""Growth Old Money:"" Style=""{StaticResource EditorLabel}"" Width=""120"" />
   <igEditors:XamCurrencyEditor Name=""GrowthOldMoney"" Style=""{StaticResource XamCurrencyEditor}"" GotFocus=""GrowthOldMoneyEditor_GotFocus"" Value=""{Binding Path=GrowthOldMoney, Mode=TwoWay,  UpdateSourceTrigger=PropertyChanged, ValidatesOnDataErrors=True, NotifyOnValidationError=True,Converter={",,
,Got Focus 2:.Net XAML,"In XAML CS -

private void GrowthOldMoneyEditor_GotFocus(object sender, RoutedEventArgs e) {
   (sender as XamCurrencyEditor).SelectAll();
}",,
,IDE Shortcut:MS Visual Studio,"Shift + F12 = Find Usages

http://weblogs.asp.net/scottgu/archive/2010/08/24/search-and-navigation-tips-tricks-with-visual-studio.aspx",,
,Common ORM:.Net,". Entity Framework

. Mapping between the entity and the table (""name"") is generally done in a .edmx file",,
,Common Device:Android Game,Zeemote,,
,Optimization:Game,"If your game does not have states/persistent data, and if you can recompute everything, it will make your game fast!",,
,Version:caGrid,"Production = 1.4
Development = 1.5

[as at 6/1/2012]

https://wiki.nci.nih.gov/display/TechStack/NCI-Hosted+Technology+Stack+2011",,
,Deployment Tips:caGrid,"ant -Dtarget.grid=<gridname> configure' task reads the grid configuration for the specified grid and automatically populates several service URLS into caGrid services for you, e.g.

> ant -Dtarget.grid=training configure


caGrid 1.1 Production 

> ant -Dtarget.grid=nci_prod configure


caGrid 1.2 Training 

> ant -Dtarget.grid=training-1.2 configure


caGrid 1.2 Production 

> ant -Dtarget.grid=nci_prod-1.2 configure",,
,Optimization 1:WebGL,". Never ever call gl.getXXX in render(), do it in setup (this is applicable to OpenGL too)
. Never attach frame buffer during rendering too, just recreate them (they are cheap to create) e.g.
render() {
  ...
  gl.framebufferRenderbuffer(...); //BAD!
  gl.framebufferTexture2D(...); //BAD!
  if(gl.checkFramebufferStatus() ... //BAD!

. Do use requestAnimationFrame(render, canvas) in render() instead of setInterval / setTimeout",,
,Optimization 2:WebGL,". Always set the canvas's width and height to 100% and calculate the aspect by canvas.clientWidth/canvas.clientHeight and projectionMatrix = perspective(fov, aspect, zNear, zFar)",,
,Development Tips:WebGL,". Use WebGL Inspector to inspect WebGL programs

. Prompt the user to visit get.webgl.org/troubleshooting if you are not able to load WebGL e.g.

gl = canvas.getContext(""webgl"");
if(!gl) {
  //prompt the user",,
,caCORE 1:What,". The primary purpose of caCORE SDK is to allow users to quickly build data services

. caCORE SDK takes a UML model, which consists of an object model and a data model, as input, and generates a complete application

. caCORE SDK Generated Artifacts
- project_name-beans.jar (JavaBeans)
- project_name-orm.jar (Hibernate)
- xml-mapping.xml and xml-unmapping.xml (Castor) for grid service
- .wsdd flle for (AXIS SOAP)",,
,caCORE 2:What,". XSD and XML Mapping files
-For each package defined in the object model, caCORE SDK generates an XSD file.
-If the UML model is annotated with semantic tags (CDE information from caDSR, during stage 1 of code generation c.f. https://wiki.nci.nih.gov/display/caCORE/6+-+caCORE+SDK+4.4+Data+Validation) then the generated XSD files will include this information as XSD documentation.",,
,Unique ID Generation:Java,"ThreadLocal - these variables differ from their normal counterparts in that each thread that accesses one (via its get or set method) has its own, independently initialized copy of the variable",,
,Backround Process:Google App Engine for Java (GAEJ),"import com.google.appengine.api.taskqueue.Queue;

...
Queue queue = QueueFactory.getDefaultQueue();		    			     queue.add(TaskOptions.Builder.withUrl(""/task/compassindex"").param(""targetClass"", targetClass.getName()).method(Method.GET));
",,
,Asynchronous Method:Enterprise JavaBeans (EJB),Message Driven Bean (MDB)'s onMessage,,
,Easily to Forget:HTML 5,. localStorage is not accessible from within Web Worker [6/1/2012 Chrome 19],,
,Cross Origin Resource Sharing (CORS):PHP,"The simplest one is:

<?php header('Access-Control-Allow-Origin: cloudserviceapi.appspot.com,scigrpservice.appspot.com'); ?>

It is not advisable to set it to *.",,
,OpenGL ES:Without,GLUT and GLU,,
,Development Tips:OpenGL ES,. Use glFrustumf for more realistic rendering as it has perspective (vs. glOrthof,,
,Development Tips:Tapestry,. Does not allow && so you embedded Javascript won't work - you need to use external js file!,,
,Cross-Origin Resource Sharing (CORS):With,. Web browser which has a XHR Level 2 (XHR2),,
,Development Tips:Chrome Browser,". If you get ""Uncaught Error: INVALID_STATE_ERR: DOM Exception 11"" on line xhr2.onreadystatechange, you probably set it after opening the URL; set it before opening the URL instead",,
,Security:caGrid,"Core Security Module (CMS) supports:

. RDMS
. LDAP
. JAAS
. caGrid Authentication Service and Dorian Service (SAML based Globus Credential)

https://wiki.nci.nih.gov/display/caCORE/4+-+caCORE+SDK+4.4+Security",,
,Version:caBig NES,"3.2

https://wiki.nci.nih.gov/display/TechStack/NCI-Hosted+Technology+Stack+2011",,
,caCORE Workbench:What,"caCORE Workbench acts as a process guide and an integrated platform, enabling the user to more readily create a Data or Analytical service on the Grid. The following are supported:

Creation of a UML Model (ArgoUML, Enterprise Architect) - Link only
Semantic integration (SIW, CDE Browser, UML Model Browser, Curation Tool) - Link only
Model mapping (caAdapter) - Link only
Application creation and deployment (SDK) - Integrated
Creation of a grid service (Introduce) - Link only",,
,caArray Model Mapping Service (MMS):What,"caAdapter Model Mapping Service (MMS) allows users to map an object to a data model. The tool provides a rich user interface with drag and drop capability to perform this mapping. Subsequently, the tool annotates the XMI file containing the object and data models with the proper mapping tags.",,
,Easy to Forget:MS Visual Studio,. You should be using Solution Navigator and not Solution Explorer to see the quick access toolbar,,
,caDSR:What,"caDSR Database
caDSR APIs
Object Cart API
CDE Browser
UML Model Browser
caDSR Freestyle Search
CDE Curation Tool
Form Builder
Semantic Integration Workbench (SIW)
caDSR Sentinel Tool

https://wiki.nci.nih.gov/display/caDSR/caDSR+Administration+Tool",,
,Supported Web Browser:caDSR,"Beginning with the 4.0.0.1 releases of the tools, caDSR officially supports Firefox 3.0 and above, in addition to Microsoft Internet Explorer 7.0 and above.

https://wiki.nci.nih.gov/display/caDSR/caDSR+Database

caDSR Tools and Firefox and IE Browsers
Firefox retains the session across multiple windows; IE does not. Follow the steps on this page to force a new session in Firefox.

https://wiki.nci.nih.gov/display/caDSR/caDSR+APIs",,
,Easy to Forget:jQueryMobile,". The form is inside data-role=content and the posting target (the action) has to use jQueryMobile too, otherwise you will encounter strange error like ""Cannot call method '_trigger' of undefined"".

. Do use <label tag as it will take care of the placement of the text/input's label automatically if the width is within or beyond 480 pixels (top or inline).",,
,Audit:.Net,"private void addCustomerBalanceAuditLog(BO.Customer customer, int fundId, BO.CustomerBalance customerBalance)
{
	_context.CustomerBalanceHistories.Add(new BO.CustomerBalanceHistory() { AIN = customer.AIN, FundId = fundId, UnitQty = customerBalance.UnitQty, OldMoney = customerBalance.OldMoney, Contribution = customerBalance.Contribution, PayPeriodUpdatedOn = payPeriod.Id });
}",,
,Useful Tips:Oracle,". Default root user is SYSTEM (10g+), the password is set during installation",,
,UI Field:Tapestry,"<p:lastUpdatedDateCell>
  <t:output format=""message:month_year"" value=""Template.lastUpdatedDate""/>
</p:lastUpdatedDateCell>",,
,Limits:MySQL,30 billion rows,,
,Partial Implementation:C#,"Partial Class and Partial Method

In short, partial classes allow you to split the definition of a class across multiple files, or alternatively you could think about it as a code compilation unit separated over multiple files. The reason for the existence of this feature is - primarily - to provide a nice split between generated code and user code

http://community.bartdesmet.net/blogs/bart/archive/2007/07/28/c-3-0-partial-methods-what-why-and-how.aspx",,
,Partial Implementation:Objective-C,Category,,
,caAdapter:What,". Part of caCORE SDK (has a GUI and backend).

. Supports object-to-data model mapping. This component allows users to parse and load data and object models from an XMI file, map the object model to the data model using drag-and-drop, add the SDK- required tags and tagged values into the XMI file, and then generate a Hibernate mapping file.

. Create a mapping from (HL7 v2 message ->) Comma Separated Value (CSV) formatted clinical data -> HL7 v3 XML format.",,
,Model 1:caDSR,". Uses ISO/IEC 11179 standard as Metadata Modelling
-while it contains extensions developed specifically to support registration of forms used in clinical trials data management, usage of the caDSR is not limited to clinical applications

. In ISO/IEC 11179, the fundamental component/model is the data element and it is the smallest unit of information that can be exchanged in a transaction between cooperating systems",,
,Optimization:.Net,". Starting from 4.5 (probably back port to 4 as well)
. Like avoiding downloading of 45 files per ASP.Net request, minimization of js files, use 30% less memory etc",,
,Analytics:Google,"		<form action=""/registerMe.gtpl?smsadmin=y&page2=y"" method=""post"">
			Contact Number: <input width=""10"" size=""10"" type=""phone"" name=""mycontactnumber"" /> (Your US cell number only please) <p>
	<%
	ReCaptcha c = ReCaptchaFactory.newReCaptcha(your_public_key, your_private_key, false)
	println c.createRecaptchaHtml(null, null)
	%>
		  	<input type=""submit"" value=""Submit""/>
			<input type=""button"" name=""cancel"" value=""Cancel"" onclick=""window.location='/registerMe.gtpl'"" />
		</form>",,
,security,". Cybersecurity
. Network Security
. Information Security
. Data Security
. Application Security",,
,Most Common UI 1:caDSR,"CDE Browser 
. Has a tree (left panel) that includes caBIG® CDE Data Standards (shortcut) and is a recommended CDEs for reuse
. Data Standard consists of one or more CDEs e.g. the Person Name Data Standard has 13 CDEs
. The Curation Tool (c.f. next section) shows retired concepts and the CDE browser does not (which is the reason for the disparity in the search results of a DE)",,
,Most Common UI 2:caDSR,"Curation Tool Search:
. You can’t find what you’re looking for in the CDE Browser	
. You are searching for other metadata e.g.
Data Element Concepts
Value Domains
Object Class, Property
. Your results list can be data element OR other administered items
. You are looking for “associated” administered items (using the “Get Associated” search feature, first column/action icon of the right panel) - navigating the relationships between metadata",,
,Best Practices:caDSR,". Search by public ID
. Use DEs with a Workflow Status of ""Released""",,
,Life Cycle 1:caDSR,"Workflow Status - where a DE is in its development cycle

You may designate Data Elements with the following Workflow Status: 
RELEASED
APPROVED FOR TRIAL USE
COMMITTEE SUBMITTED USED
DRAFT MOD
COMMITTEE APPROVED
RELEASED NON-COMPLIANT
DRAFT NEW (choose this when creating a new DE)",,
,Life Cycle 2:caDSR,"Registration Status- indicator of usage and acceptance across contexts and throughout the caBIG® community:

Standard - has been approved for usage in all contexts
Candidate - has been proposed for usage in all contexts
Proposed – Met all quality requirements and is ready to be proposed for usage in all contexts
Qualified -  the Administered Component has met all quality requirements, and is ready to be reviewed for usage in all contexts",,
,Relationships 1:caDSR,"Standard (CDE) <-- DE Concept (DEC)+1 <-- Object Class/Property <-- EVS Concept (NCI Thesaurus Concept)
+
Standard (CDE) <-- Value Domain (VD)+1

Note: +1 = one or more will form a unique (C)DE

e.g. an Example Data Element: Contact Person Phone Number
Primary Representation Term Concept = Number
Value Domain: Phone Number
DEC= Contact Person",,
,Designate a caDSR DE:What,"What does it mean to designate a DE?
. Designate a DE when you want to re-use the DE in your context
. DO NOT Designate if you are the OWNING Context
Why designate?
. #1 reason is to avoid creating redundant, semantically equivalent CDEs
. Allows others to view the metadata your Context is using
. Allows you to set up a Sentinel Alert for the Data Element
Where do I designate DE?
. Curation Tool
Where are designations viewed?
. CDE Browser
. Curation Tool
(""Used By Context"" for both)",,
,Alternate Name:caDSR,". Alternate Names are one attribute of an Administered Item
. The following Administered Items can have Alternate Names
Data Element
Data Element Concept
Value Domain
. Alternate Names are used only in external systems
. You must designate an data element before you can add an alternate name
. Anyone with curator privileges can add an Alternate Name to a Data Element, Data Element Concept or Value Domain (A curator does not have to own the Administered Item to add an Alternate Name)",,
,Value Domain:caDSR,A good Value Domain has a Primary Representation Term Concept based on one of the 37 approved Representation Terms,,
,Immutable:F#,. Everything is by default immutable ,,
,Data Type:caDSR,Primary Representation Term Concept (37 of them),,
,Collections:caDSR,"There are three ways to build collections of Data Elements in the caDSR:

Contexts - Group or organizational unit that has privileges to own and maintain metadata

Classification Schemes (CS) and Classification Scheme Items (CSI) - Collection of related classification scheme items that define a sub-hierarchy within the tree

Forms (FormBuilder) – Smallest way to build a collection of DE’s.  Allow for modular organization structure of metadata",,
,Relationships 2:caDSR,"Forms <-- Modules <-- Data Elements  <-- Values

Form: Collection of CDEs describing the type and  possible values of clinical information collected

Module:  Small group of related CDEs on a form

Value: One single item on a permitted list of answers for questions; another name for this is a permissible value (PV)

CRF: Case Report Form – group of CDEs arranged by module

Template: Used to clone forms (CRFs) of similar type",,
,Useful Tips:caDSR,. CDEs must be in your Cart in order to use them on a Module or Form,,
,Version:caDSR,". Oracle 10gAS, 10.1.2.0.2 (caDSR Administration Tool)",,
,Observable Attributes:caDSR,"Metadata changes can be monitored with

. Workflow Status
. Registration Status
. Version",,
,UI Panel:.Net,"WPF:

Canvas - like HTML
DockPanel
StackPanel (Vertical Orientation)
StackPanel (Horizontal Orientation)
Grid
WrapPanel - basic sequential layout from left to right

http://msdn.microsoft.com/en-us/library/ms754152.aspx",,
,Binding 3:XAML,"WPF: Bind Control Enabled to Checkbox Checked:

IsEnabled=""{Binding ElementName=chkEnableBackup, Path=IsChecked}""

http://mel-green.com/2009/07/wpf-bind-control-enabled-to-checkbox-ecked/",,
,Metadata:caDSR,". Generically, these are referred to as “administered items.” 
. An Administered Item has a Public ID and Version number in the caDSR. Non-administered items do not.",,
,Model 2:caDSR,". ISO/IEC 11179 defines a framework and protocols for how can be specified, consistently maintained and shared across diverse domains",,
